Building,Utility,Tariff
lbnl,PGE,FLAT06
avenal-animal-shelter,PGE,PGEA01
avenal-veterans-hall,PGE,PGEA01
avenal-recreation-center,PGE,PGEA01
avenal-public-works-yard,PGE,PGEA01
ciee,PGE,PGEA01
word-of-faith-cc,PGE,PGEA01
south-berkeley-senior-center,PGE,PGEA01
hayward-station-8,PGE,PGEA06
brower-center,PGE,PGEA06
orinda-community-center,PGE,PGEA10
orinda-public-library,PGE,PGEA10
hayward-station-1,PGE,PGEA10
north-berkeley-senior-center,PGE,PGEA10
berkeley-corporation-yard,PGE,PGEA10
local-butcher-shop,PGE,PGEE19
avenal-movie-theatre,PGE,PGEE19
rfs,PGE,PGEE19
garber,PGE,PGEE19
sdh,PGE,PGEE20
csu-dominguez-hills,SCE,SCE08B
jesse-turner-center,SCE,SCETGS3
